Numéro ED	Idref	Libellé ED	id_ed
388	166211907	École doctorale Chimie physique et chimie analytique de Paris centre	M0Hnd
397	166243574	École doctorale Physique et chimie des matériaux	WxSt9
405	096141158	École doctorale Économie, management,mathématiques, physique et sciences informatiques	QbwSB
434	138030456	École doctorale Géographie de Paris	1FmLX
458	154236330	École doctorale Sciences écologiques, vétérinaires, agronomiques et bioingénieries	Yf3TI
469	153281154	École doctorale du Pacifique	t9Z2n
472	169661717	École doctorale de l'Ecole Pratique des Hautes Etudes	27zK4
473	148938809	École doctorale Sciences de l'homme et de la société	8qKD9
475	142547247	École doctorale Mathématiques, informatique, télécommunications de Toulouse	xcp2r
478	157276937	École doctorale Sciences de Gestion	q34kB
480	152831738	École doctorale Montaigne-humanités nouvelles	f3SeZ
481	156729849	École doctorale Sciences sociales et humanités	E3z5j
509	157483967	École doctorale Sociétés méditerranéennes et sciences humaines	9tbyG
512	148390757	École doctorale Informatique et mathématiques de Lyon	t86bi
515	168083973	École doctorale Complexité du vivant	CbV9s
519	156496216	École doctorale Sciences humaines et sociales - Perspectives européennes	2f5qs
529	13539208X	École doctorale Cultures et sociétés	XU9tb
536	151792496	École doctorale Agrosciences et Sciences	pHfqe
560	182512010	École doctorale Sciences de la terre et de l'environnement et Physique de l'univers, Paris	Z2VI9
570	188540075	École doctorale Santé Publique	9lgE4
577	188166580	École doctorale Structure et dynamique des systèmes vivants	4bsxJ
580	188168753	École doctorale Sciences et technologies de l'information et de la communication	AzCC0
581	188524010	École doctorale Agriculture, alimentation, biologie, environnement, santé	c1x56
584	192851179	École doctorale Biodiversité, Agriculture, Alimentation, Environnement, Terre, Eau	F1h5f
603	223629359	École doctorale Education, Cognition, Langages, Interactions, Santé	1Mzw7
612	226968588	École doctorale humanités nouvelles	v30I8
624	237726149	École doctorale Sciences des Sociétés	cGIjW
629	243746326	École doctorale Sciences sociales et humanités nouvelles	nnSns
631	258621362	École doctorale Mathématiques, sciences du numérique et de leurs interactions	OImap
643	268264961	École doctorale Arts, Lettres, Langues	
644	271797509	École doctorale Mathématiques & Sciences et Technologies de l’Information et de la Communication en Bretagne Océane	
655	264481852	École doctorale Gouvernance des Institutions et des Organisations	
7	117605344	École doctorale Georges Vedel - Droit public interne, science administrative et science politique	Dw881
19	086171712	École doctorale Littératures françaises et comparée	13M43
34	150103409	École doctorale Matériaux de Lyon	1Iufh
39	113997205	École doctorale Mathématiques et Informatique	TBj2X
52	149553331	École doctorale Physique et astrophysique de Lyon	61XPb
71	16971652X	École doctorale Sciences pour l'ingénieur	H6UYp
73	14893823X	École doctorale Sciences économiques, sociales, de l'aménagement et du management	IQ0Hk
74	050154788	École doctorale Sciences juridiques, politique et de gestion	3A2RY
77	095648542	École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques de Lorraine	TCHTA
120	079316034	École doctorale Littérature française et comparée	3ULpe
124	138457212	École doctorale Histoire de l'art et archéologie	MBN4L
139	122618882	École doctorale Connaissance, langage, modélisation	1lxGH
151	163933286	École doctorale Biologie, santé, biotechnologies	yP8w4
173	159341302	École doctorale Sciences de l'univers, de l'environnement et de l'espace	R0Z9c
182	156500019	École doctorale Physique et chimie-physique	3My6I
184	129538299	École doctorale Mathématiques et informatique de Marseille	DDObG
216	149117906	École doctorale Ingénierie pour la santé, la cognition, l'environnement	fPs1t
221	156507013	École doctorale Augustin Cournot	5z9rW
261	153670959	École doctorale Cognition, comportements, conduites humaines	KOLCy
275	149284357	École doctorale Sciences de gestion	6QC4I
279	165786388	École doctorale Arts plastiques et sciences de l'art	BpW1j
280	034505067	École doctorale Philosophie	kJxnm
300	149284713	École doctorale Sciences Économiques	5x3fM
305	167319809	École doctorale Énergie et environnement	Kbt8I
309	154236462	École doctorale Systèmes	8TT4b
386	137156308	École doctorale Sciences mathématiques de Paris centre	wMj98
398	13850766X	École doctorale Géosciences, ressources naturelles et environnement	Zi4Zf
401	096384476	École doctorale Sciences sociales	raQ7K
432	150495099	École doctorale Sciences des métiers de l'ingénieur	nSsHB
441	145616827	École doctorale Histoire de l'art	d5W3U
454	149284616	École doctorale Sciences de l'homme, du politique et du territoire	Opv31
467	142618039	École doctorale Aéronautique, astronautique	U7l45
484	148865267	École doctorale Lettres, langues, linguistique, arts	BlCQD
486	148864228	École doctorale Sciences économiques et de gestion	h1GZ3
487	148864635	École doctorale Philosophie	3BRzJ
497	162023499	École doctorale Normande de Biologie Intégrative, Santé, Environnement	0D9Je
520	156498324	École doctorale des Humanités	rI175
528	135387973	École doctorale Ville, transports et territoires	68zCc
542	156265370	École doctorale de sciences	2pAql
553	161792502	École doctorale Carnot - Pasteur	6h4Z7
562	183954645	École doctorale Bio Sorbonne Paris Cité	4Yju6
564	179979728	École doctorale Physique en Ile de France	39AcN
571	188164650	École doctorale Sciences Chimiques : Molécules, Matériaux, Instrumentation et Biosystemes	zbi37
573	188121730	École doctorale Interfaces : Approches Interdisciplinaires, Fondements, Applications et Innovation	gG820
576	188122133	École doctorale Particules, Hadrons, Énergie, Noyau, Instrumentation, Imagerie, Cosmos et Simulation	qC4rf
587	188432205	École doctorale Diversites, santé et développement en Amazonie	V14tj
591	198187106	École doctorale Physique, Sciences de l'Ingénieur, Materiaux, Énergie	Hn5Om
594	200691422	École doctorale Sociétés, Espaces, Pratiques, Temps	N85H3
595	139075909	École doctorale Arts, Lettres, Langues - Bretagne	a8f9b
617	230931758	École doctorale Sciences de la Société : Territoires, Économie, Droit	Kl9ZX
622	237724472	École doctorale Sciences du langage	9DsG2
623	237725576	École doctorale Savoir, Sciences, Éducation	98lMD
628	242920551	École doctorale Arts humanités nouvelles et Sciences sociales	vwwRK
638	267603320	École doctorale Science de la Matière, des Molécules et Matériaux	
639	26827049X	École doctorale Droit et Science politique - Pays de la Loire	
642	268276773	École doctorale Végétal, Animal, Aliment, Mer, Environnement	
645	268887691	École doctorale Espaces, Sociétés, Civilisations	
647	267619715	École doctorale Sciences pour l’Ingénieur	
